,Date,SPY
1568,2018-08-23,268.08746337890625
1569,2018-08-24,269.7008361816406
1570,2018-08-27,271.8302917480469
1571,2018-08-28,271.9616394042969
1572,2018-08-29,273.4250183105469
1573,2018-08-30,272.31805419921875
1574,2018-08-31,272.32745361328125
1575,2018-09-04,271.8583679199219
1576,2018-09-05,271.126708984375
1577,2018-09-06,270.31060791015625
1578,2018-09-07,269.7852783203125
1579,2018-09-10,270.2543029785156
1580,2018-09-11,271.14544677734375
1581,2018-09-12,271.2112121582031
1582,2018-09-13,272.815185546875
1583,2018-09-14,272.8621826171875
1584,2018-09-17,271.4175720214844
1585,2018-09-18,272.89019775390625
1586,2018-09-19,273.1810607910156
1587,2018-09-20,275.3948974609375
1588,2018-09-21,275.14324951171875
1589,2018-09-24,274.2292175292969
1590,2018-09-25,273.97479248046875
1591,2018-09-26,273.155029296875
1592,2018-09-27,273.9183044433594
1593,2018-09-28,273.94659423828125
1594,2018-10-01,274.8982849121094
1595,2018-10-02,274.738037109375
1596,2018-10-03,274.8887939453125
1597,2018-10-04,272.7403869628906
1598,2018-10-05,271.21380615234375
1599,2018-10-08,271.21380615234375
1600,2018-10-09,270.8180847167969
1601,2018-10-10,262.24310302734375
1602,2018-10-11,256.4668273925781
1603,2018-10-12,260.0287780761719
1604,2018-10-15,258.5680847167969
1605,2018-10-16,264.22198486328125
1606,2018-10-17,264.2691345214844
1607,2018-10-18,260.4527282714844
1608,2018-10-19,260.31146240234375
1609,2018-10-22,259.1429138183594
1610,2018-10-23,257.82373046875
1611,2018-10-24,250.01205444335938
1612,2018-10-25,254.49742126464844
1613,2018-10-26,250.021484375
1614,2018-10-29,248.6362762451172
1615,2018-10-30,252.3206787109375
1616,2018-10-31,255.01565551757812
1617,2018-11-01,257.7295227050781
1618,2018-11-02,256.20306396484375
1619,2018-11-05,257.6164855957031
1620,2018-11-06,259.2466125488281
1621,2018-11-07,264.7967529296875
1622,2018-11-08,264.316162109375
1623,2018-11-09,261.73431396484375
1624,2018-11-12,256.8437194824219
1625,2018-11-13,256.36322021484375
1626,2018-11-14,254.61053466796875
1627,2018-11-15,257.267822265625
1628,2018-11-16,257.9367980957031
1629,2018-11-19,253.57391357421875
1630,2018-11-20,248.8812713623047
1631,2018-11-21,249.7293701171875
1632,2018-11-23,248.0614471435547
1633,2018-11-26,252.06631469726562
1634,2018-11-27,252.91429138183594
1635,2018-11-28,258.7377624511719
1636,2018-11-29,258.1723937988281
1637,2018-11-30,259.74609375
1638,2018-12-03,263.18548583984375
1639,2018-12-04,254.6575927734375
1640,2018-12-06,254.271240234375
1641,2018-12-07,248.36297607421875
1642,2018-12-10,248.83412170410156
1643,2018-12-11,248.8906707763672
1644,2018-12-12,250.14393615722656
1645,2018-12-13,250.05917358398438
1646,2018-12-14,245.44183349609375
1647,2018-12-17,240.62667846679688
1648,2018-12-18,240.3628387451172
1649,2018-12-19,236.7632598876953
1650,2018-12-20,232.90919494628906
1651,2018-12-21,228.13702392578125
1652,2018-12-24,222.10897827148438
1653,2018-12-26,233.3310089111328
1654,2018-12-27,235.1223602294922
1655,2018-12-28,234.81906127929688
1656,2018-12-31,236.87579345703125
1657,2019-01-02,237.1222381591797
1658,2019-01-03,231.46383666992188
1659,2019-01-04,239.21690368652344
1660,2019-01-07,241.10304260253906
1661,2019-01-08,243.36827087402344
1662,2019-01-09,244.5056610107422
1663,2019-01-10,245.36813354492188
1664,2019-01-11,245.46292114257812
1665,2019-01-14,243.9654083251953
1666,2019-01-15,246.7614288330078
1667,2019-01-16,247.35853576660156
1668,2019-01-17,249.23519897460938
1669,2019-01-18,252.55250549316406
1670,2019-01-22,249.14041137695312
1671,2019-01-23,249.6617431640625
1672,2019-01-24,249.79437255859375
1673,2019-01-25,251.90806579589844
1674,2019-01-28,249.993408203125
1675,2019-01-29,249.6617431640625
1676,2019-01-30,253.61404418945312
1677,2019-01-31,255.84140014648438
1678,2019-02-01,255.964599609375
1679,2019-02-04,257.7654724121094
1680,2019-02-05,258.845947265625
1681,2019-02-06,258.50469970703125
1682,2019-02-07,256.0404968261719
1683,2019-02-08,256.35321044921875
1684,2019-02-11,256.495361328125
1685,2019-02-12,259.79376220703125
1686,2019-02-13,260.6372375488281
1687,2019-02-14,260.0591125488281
1688,2019-02-15,262.89312744140625
1689,2019-02-19,263.3480224609375
1690,2019-02-20,263.8787841796875
1691,2019-02-21,262.9405212402344
1692,2019-02-22,264.5706787109375
1693,2019-02-25,264.9308776855469
1694,2019-02-26,264.7413330078125
1695,2019-02-27,264.6275634765625
1696,2019-02-28,264.1347351074219
1697,2019-03-01,265.7839050292969
1698,2019-03-04,264.8171691894531
1699,2019-03-05,264.4569396972656
1700,2019-03-06,262.8551940917969
1701,2019-03-07,260.6562194824219
1702,2019-03-08,260.13494873046875
1703,2019-03-11,263.9072265625
1704,2019-03-12,264.9024658203125
1705,2019-03-13,266.6559143066406
1706,2019-03-14,266.4852600097656
1707,2019-03-15,267.8018493652344
1708,2019-03-18,268.7728576660156
1709,2019-03-19,268.83953857421875
1710,2019-03-20,268.03033447265625
1711,2019-03-21,271.05767822265625
1712,2019-03-22,265.8408203125
1713,2019-03-25,265.6408386230469
1714,2019-03-26,267.6209411621094
1715,2019-03-27,266.2215270996094
1716,2019-03-28,267.2306213378906
1717,2019-03-29,268.91571044921875
1718,2019-04-01,272.1048278808594
1719,2019-04-02,272.2381591796875
1720,2019-04-03,272.66650390625
1721,2019-04-04,273.3899841308594
1722,2019-04-05,274.7132568359375
1723,2019-04-08,274.9226989746094
1724,2019-04-09,273.5137634277344
1725,2019-04-10,274.4466857910156
1726,2019-04-11,274.37054443359375
1727,2019-04-12,276.2269592285156
1728,2019-04-15,276.0460510253906
1729,2019-04-16,276.2269592285156
1730,2019-04-17,275.55096435546875
1731,2019-04-18,276.0935974121094
1732,2019-04-22,276.33160400390625
1733,2019-04-23,278.8163146972656
1734,2019-04-24,278.1975402832031
1735,2019-04-25,278.0261535644531
1736,2019-04-26,279.32086181640625
1737,2019-04-29,279.7587890625
1738,2019-04-30,279.90155029296875
1739,2019-05-01,277.7976379394531
1740,2019-05-02,277.1978454589844
1741,2019-05-03,279.91107177734375
1742,2019-05-06,278.75921630859375
1743,2019-05-07,274.10400390625
1744,2019-05-08,273.7231750488281
1745,2019-05-09,272.89495849609375
1746,2019-05-10,274.26580810546875
1747,2019-05-13,267.3734436035156
1748,2019-05-14,269.79144287109375
1749,2019-05-15,271.3717956542969
1750,2019-05-16,273.885009765625
1751,2019-05-17,272.11431884765625
1752,2019-05-20,270.3150939941406
1753,2019-05-21,272.752197265625
1754,2019-05-22,271.9143981933594
1755,2019-05-23,268.5920715332031
1756,2019-05-24,269.2012634277344
1757,2019-05-28,266.69757080078125
1758,2019-05-29,264.9078063964844
1759,2019-05-30,265.63134765625
1760,2019-05-31,262.0519104003906
1761,2019-06-03,261.38555908203125
1762,2019-06-04,267.0593566894531
1763,2019-06-05,269.37255859375
1764,2019-06-06,271.124267578125
1765,2019-06-07,273.83740234375
1766,2019-06-10,275.09405517578125
1767,2019-06-11,275.02740478515625
1768,2019-06-12,274.54193115234375
1769,2019-06-13,275.6748046875
1770,2019-06-14,275.3701477050781
1771,2019-06-17,275.4748229980469
1772,2019-06-18,278.359375
1773,2019-06-19,278.9876403808594
1774,2019-06-20,281.65313720703125
1775,2019-06-21,281.2438049316406
1776,2019-06-24,280.8994445800781
1777,2019-06-25,278.14434814453125
1778,2019-06-26,277.86688232421875
1779,2019-06-27,278.8522644042969
1780,2019-06-28,280.28717041015625
1781,2019-07-01,282.8317565917969
1782,2019-07-02,283.56829833984375
1783,2019-07-03,285.8355407714844
1784,2019-07-05,285.51025390625
1785,2019-07-08,283.9414367675781
1786,2019-07-09,284.29534912109375
1787,2019-07-10,285.6536865234375
1788,2019-07-11,286.3233642578125
1789,2019-07-12,287.6051940917969
1790,2019-07-15,287.7008972167969
1791,2019-07-16,286.77301025390625
1792,2019-07-17,284.8214416503906
1793,2019-07-18,285.8641662597656
1794,2019-07-19,284.2762451171875
1795,2019-07-22,284.97454833984375
1796,2019-07-23,287.0121154785156
1797,2019-07-24,288.3609619140625
1798,2019-07-25,286.9834899902344
1799,2019-07-26,288.9062194824219
1800,2019-07-29,288.380126953125
1801,2019-07-30,287.6722106933594
1802,2019-07-31,284.5249938964844
1803,2019-08-01,282.04730224609375
1804,2019-08-02,279.92364501953125
1805,2019-08-05,271.5054931640625
1806,2019-08-06,275.31280517578125
1807,2019-08-07,275.4754333496094
1808,2019-08-08,280.8802490234375
1809,2019-08-09,278.967041015625
1810,2019-08-12,275.5710754394531
1811,2019-08-13,279.856689453125
1812,2019-08-14,271.5820007324219
1813,2019-08-15,272.2994384765625
1814,2019-08-16,276.31719970703125
1815,2019-08-19,279.6462097167969
1816,2019-08-20,277.50347900390625
1817,2019-08-21,279.760986328125
1818,2019-08-22,279.6749572753906
1819,2019-08-23,272.49078369140625
1820,2019-08-26,275.5040588378906
1821,2019-08-27,274.4231262207031
1822,2019-08-28,276.3554992675781
1823,2019-08-29,279.8854064941406
1824,2019-08-30,279.760986328125
1825,2019-09-03,278.125244140625
1826,2019-09-04,281.28204345703125
1827,2019-09-05,284.8980712890625
1828,2019-09-06,285.1180419921875
1829,2019-09-09,285.2615661621094
1830,2019-09-10,285.1945495605469
1831,2019-09-11,287.2225646972656
1832,2019-09-12,288.2174377441406
1833,2019-09-13,288.02618408203125
1834,2019-09-16,287.1365051269531
1835,2019-09-17,287.8634948730469
1836,2019-09-18,288.0357360839844
1837,2019-09-19,288.01654052734375
1838,2019-09-20,286.6557312011719
1839,2019-09-23,286.5885009765625
1840,2019-09-24,284.3396911621094
1841,2019-09-25,286.021484375
1842,2019-09-26,285.4256286621094
1843,2019-09-27,283.8879699707031
1844,2019-09-30,285.20458984375
1845,2019-10-01,281.8121643066406
1846,2019-10-02,276.8340759277344
1847,2019-10-03,279.1020812988281
1848,2019-10-04,282.8788757324219
1849,2019-10-07,281.6584167480469
1850,2019-10-08,277.2857360839844
1851,2019-10-09,279.9189453125
1852,2019-10-10,281.8121643066406
1853,2019-10-11,284.73370361328125
1854,2019-10-14,284.41656494140625
1855,2019-10-15,287.23236083984375
1856,2019-10-16,286.7710876464844
1857,2019-10-17,287.6168212890625
1858,2019-10-18,286.3578186035156
1859,2019-10-21,288.2991027832031
1860,2019-10-22,287.3572998046875
1861,2019-10-23,288.1934509277344
1862,2019-10-24,288.664306640625
1863,2019-10-25,289.8464050292969
1864,2019-10-28,291.4800720214844
1865,2019-10-29,291.39361572265625
1866,2019-10-30,292.28741455078125
1867,2019-10-31,291.50897216796875
1868,2019-11-01,294.20947265625
1869,2019-11-04,295.39154052734375
1870,2019-11-05,295.0647888183594
1871,2019-11-06,295.13201904296875
1872,2019-11-07,296.1699523925781
1873,2019-11-08,296.90032958984375
1874,2019-11-11,296.33331298828125
1875,2019-11-12,296.9579772949219
1876,2019-11-13,297.0541076660156
1877,2019-11-14,297.486572265625
1878,2019-11-15,299.6392822265625
1879,2019-11-18,299.8602600097656
1880,2019-11-19,299.7738037109375
1881,2019-11-20,298.6589660644531
1882,2019-11-21,298.178466796875
1883,2019-11-22,298.8415832519531
1884,2019-11-25,301.15765380859375
1885,2019-11-26,301.8399963378906
1886,2019-11-27,303.1854248046875
1887,2019-11-29,302.06109619140625
1888,2019-12-02,299.4950866699219
1889,2019-12-03,297.486572265625
1890,2019-12-04,299.3221130371094
1891,2019-12-05,299.8602600097656
1892,2019-12-06,302.5992126464844
1893,2019-12-09,301.6478271484375
1894,2019-12-10,301.3114318847656
1895,2019-12-11,302.1667785644531
1896,2019-12-12,304.7711181640625
1897,2019-12-13,304.9537658691406
1898,2019-12-16,307.0487976074219
1899,2019-12-17,307.11602783203125
1900,2019-12-18,307.13525390625
1901,2019-12-19,308.39422607421875
1902,2019-12-20,309.7463073730469
1903,2019-12-23,310.2195129394531
1904,2019-12-24,310.22918701171875
1905,2019-12-26,311.880615234375
1906,2019-12-27,311.8033752441406
1907,2019-12-30,310.0842590332031
1908,2019-12-31,310.83758544921875
1909,2020-01-02,313.7445068359375
1910,2020-01-03,311.3687438964844
1911,2020-01-06,312.5566101074219
1912,2020-01-07,311.67779541015625
1913,2020-01-08,313.33892822265625
1914,2020-01-09,315.46356201171875
1915,2020-01-10,314.55572509765625
1916,2020-01-13,316.718994140625
1917,2020-01-14,316.2361755371094
1918,2020-01-15,316.9507751464844
1919,2020-01-16,319.58734130859375
1920,2020-01-17,320.58209228515625
1921,2020-01-21,319.9543151855469
1922,2020-01-22,319.9929504394531
1923,2020-01-23,320.3598937988281
1924,2020-01-24,317.5109558105469
1925,2020-01-27,312.42138671875
1926,2020-01-28,315.6953125
1927,2020-01-29,315.4345703125
1928,2020-01-30,316.458251953125
1929,2020-01-31,310.7120361328125
1930,2020-02-03,313.0201721191406
1931,2020-02-04,317.791015625
1932,2020-02-05,321.46087646484375
1933,2020-02-06,322.54254150390625
1934,2020-02-07,320.8235168457031
1935,2020-02-10,323.21856689453125
1936,2020-02-11,323.77874755859375
1937,2020-02-12,325.86468505859375
1938,2020-02-13,325.51708984375
1939,2020-02-14,326.0386047363281
1940,2020-02-18,325.1983642578125
1941,2020-02-19,326.7532043457031
1942,2020-02-20,325.41082763671875
1943,2020-02-21,322.0596618652344
1944,2020-02-24,311.37841796875
1945,2020-02-25,301.9429931640625
1946,2020-02-26,300.8323669433594
1947,2020-02-27,287.32147216796875
1948,2020-02-28,286.11431884765625
